лемма,количество стимулов,список стимулов
самообразование,4,"заниматься, институт, книжка, развитие"
надзиратель,4,"бог, высший, начальник, учительница"
ивент,4,"сегодняшний, ситуация, событие, участие"
бедолага,4,"бывший, московский, несчастный, рабочий"
врасплох,4,"заставить, оказаться, оказываться, ситуация"
планка,4,"высокий, держать, поднять, уровень"
шить,4,"делать, защита, получаться, уметь"
вредность,4,"мальчик, принцип, старик, степень"
вредить,4,"бить, мешать, позволять, убить"
булка,4,"есть, очередь, французский, хлеб"
букварь,4,"книга, книжка, слово, человеческий"
и прощать,4,"иметь, оставить, понять, принять"
наименование,4,"имя, название, назвать, фирма"
тапочек,4,"гость, домашний, принести, утро"
надгробие,4,"материал, память, погибнуть, умереть"
писаться,4,"история, картина, статья, текст"
проговаривать,4,"повторить, провести, произнести, сказать"
царство,4,"вид, государство, класс, светлый"
хутор,4,"восточный, деревня, малый, сельский"
устрашающий,4,"боевой, вооруженный, образ, огромный"
прогрессировать,4,"измениться, наука, развитие, экономика"
пинать,4,"бить, давать, нога, школьный"
встречный,4,"знакомый, неожиданный, случайный, улыбнуться"
вулкан,4,"горный, горячий, информационный, огромный"
пиздец,4,"брат, завод, отец, полный"
пещера,4,"каменный, попасть, страшный, темный"
второй половинка,4,"встретить, найти, понравиться, судьба"
вступать,4,"зайти, приходить, состоять, состояться"
листик,4,"дерево, зеленый, сухой, тонкий"
листать,4,"газета, журнал, писать, хотеть"
садовый,4,"голова, магазин, улица, участок"
намек,4,"заметить, простой, прямой, тонкий"
наличие,4,"есть, иметь, указать, факт"
с утро,4,"встать, начинаться, свет, явиться"
кавалер,4,"лучший, молодой, парень, юный"
к что-то,4,"интерес, относиться, отношение, стремиться"
бытовой,4,"жизненный, промышленный, профессиональный, семейный"
сочетание,4,"слово, состав, союз, цвет"
консультация,4,"обращаться, объяснять, совет, юридический"
продемонстрировать,4,"возможность, объявить, показать, показывать"
печь,4,"дом, мочь, нести, солнце"
успокаивать,4,"зеленый, мешать, музыка, понять"
в правда,4,"вера, верить, поверить, сила"
в поход,4,"отправиться, пойти, собираться, собраться"
безупречный,4,"исполнительный, порядок, чистый, эффективный"
безумно,4,"звучать, любить, нравиться, успеть"
золотой век,4,"век, золотой, писатель, поэт"
с родной,4,"встретиться, встречаться, обращаться, связь"
с радость,4,"возвращаться, гулять, помочь, улыбаться"
продуктовый,4,"магазин, рынок, ряд, торговый"
вылечивать,4,"мочь, обещать, пытаться, спасти"
лицезреть,4,"видеть, наблюдать, смотреть, увидеть"
лицевой,4,"деловой, передний, сторона, счет"
литр,4,"километр, литература, мера, объем"
пермский,4,"край, московский, район, регион"
перешагивать,4,"входить, граница, обратиться, пройти"
бдительность,4,"внимание, постоянный, потерять, предусмотреть"
червяк,4,"длинный, книжка, мелкий, электронный"
значиться,4,"значить, приходиться, состоять, считаться"
скилла,4,"индивидуальный, мастер, опыт, уровень"
стартовать,4,"начать, начаться, начинаться, продолжать"
староста,4,"быть, назначить, сельский, старый"
с уважение,4,"обратиться, обращаться, относиться, письмо"
с сила,4,"держаться, собираться, собраться, считаться"
штука,4,"вещь, количество, направление, пара"
в поликлиника,4,"кабинет, направление, обратиться, очередь"
в пример,4,"поставить, привести, приводить, ставить"
снежный,4,"белый, зима, край, утро"
выносливый,4,"команда, сильный, спортивный, стать"
выносливость,4,"здоровье, начинаться, невозможный, степень"
айти,4,"компания, программа, разработать, специалист"
азиатский,4,"восточный, европейский, китайский, японский"
проездной,4,"билет, временной, единый, транспортный"
продюсер,4,"генеральный, главный, исполнительный, неизвестный"
зоопарк,4,"директор, московский, наблюдать, физический"
с парень,4,"встретиться, встречаться, отношение, роман"
конструировать,4,"построить, создать, составлять, строить"
ловкость,4,"висеть, нога, резкий, сила"
пересекаться,4,"встретиться, встречать, встречаться, знакомый"
переплет,4,"книга, книжка, роман, твердый"
вымирать,4,"вид, население, редкий, род"
выразительный,4,"взгляд, искусство, литературный, речь"
выражать,4,"значить, играть, мнение, написать"
выпускник,4,"вечер, встреча, встречать, театральный"
бак,4,"объем, полный, пустой, средний"
пересказывать,4,"написать, рассказать, рассказывать, читать"
логин,4,"войти, данные, искать, неизвестный"
лорд,4,"верховный, господин, местный, темный"
высматривать,4,"выглядеть, искать, наблюдать, увидеть"
вырость,4,"измениться, подняться, расти, родиться"
перелет,4,"долгий, международный, ночной, самолет"
производить впечатление,4,"выглядеть, нравиться, понравиться, суметь"
байкал,4,"вода, глубокий, дух, край"
бампер,4,"губа, задний, крупный, передний"
выпрашивать,4,"попросить, просить, простить, требование"
выполнять задание,4,"выполнить, попытаться, стараться, удасться"
выполнимый,4,"задача, мечта, операция, цель"
знак вопрос,4,"вопрос, определить, спрашивать, спросить"
тезис,4,"конкретный, объяснить, утверждать, факт"
злоба,4,"начальник, общество, характер, чужой"
насквозь,4,"взгляд, видеть, глядеть, проходить"
как надо,4,"показать, сделать, служить, улыбаться"
сквер,4,"городской, зеленый, московский, старый"
высокий оценка,4,"высший, космический, оценка, получаться"
высокий класс,4,"высший, модель, рабочий, специалист"
сочный,4,"мощный, свежий, толстый, яркий"
сочи,4,"география, город, отправиться, южный"
снегопад,4,"начаться, ночной, сильный, скорый"
ложа,4,"верить, здоровье, правда, совет"
миша,4,"господин, дядя, исполнительный, толстый"
михаил,4,"круг, отец, святой, хороший"
мироздание,4,"граница, основа, создавать, структура"
наркоман,4,"веселый, принимать, семья, чистый"
выстаивать,4,"держаться, состоять, становиться, стоять"
высокомерный,4,"взгляд, особый, строгий, уверенный"
урал,4,"название, природа, регион, южный"
газпром,4,"глава, дядя, компания, фирма"
пергамент,4,"бумага, документ, редкий, стихи"
вышестоящий,4,"важный, организация, руководство, суд"
вычислять,4,"найти, определить, считать, узнать"
вычисление,4,"метод, система, степень, считать"
гадкий,4,"грязный, злой, плохой, частый"
гадать,4,"вызвать, готовить, думать, решить"
упругий,4,"волос, жесткий, мягкий, отдельный"
склад ум,4,"материальный, профессиональный, советский, технический"
с начало,4,"начать, начаться, начинаться, повторить"
с мысль,4,"связать, собираться, собраться, согласиться"
с муж,4,"встретиться, встречаться, договориться, спать"
с мальчик,4,"встречаться, играть, начать, отношение"
населенный пункт,4,"ближайший, город, пункт, район"
нарушитель,4,"административный, виноватый, уголовный, указать"
пельмень,4,"делать, еврейский, мешать, производство"
промежуток время,4,"временной, год, конкретный, определенный"
переводчик,4,"военный, китайский, понимать, профессиональный"
габаритный,4,"большой, крупный, машина, широкий"
вялый,4,"поздний, свежий, состояние, учительница"
вязать,4,"бабушка, связанный, связать, уметь"
галерея,4,"искусство, картина, сохранить, художественный"
конвейер,4,"завод, последующий, производство, промышленный"
константа,4,"время, постоянный, существовать, факт"
звездопад,4,"желание, наблюдать, ночной, случиться"
здравствовать,4,"восточный, встреча, генеральный, товарищ"
в закат,4,"уезжать, уехать, уйти, уходить"
защищаться,4,"бить, крикнуть, кричать, отвечать"
складно,4,"говорить, звучать, ответить, петь"
много раз,4,"использовать, повторить, повторять, частый"
много деньги,4,"богатый, желать, иметь, получить"
многий,4,"больший, большинство, обладать, различный"
педагогика,4,"институт, курс, направление, принцип"
пачка,4,"бумага, деньги, кончиться, ставить"
гарантировать,4,"обеспечить, обещать, сохранить, успех"
географический,4,"исследование, исторический, литературный, положение"
гибель,4,"война, погибнуть, смерть, солдат"
героизм,4,"мужской, пример, слава, спасти"
в ад,4,"гореть, дорога, попасть, путь"
звонко,4,"говорить, звучать, петь, смеяться"
зверек,4,"дикий, маленький, мелкий, милый"
с кровать,4,"встать, падать, подняться, упасть"
с край,4,"крайний, место, отдельный, упасть"
блондинка,4,"волос, девочка, девушка, женщина"
наступление,4,"армия, будущий, план, шаг"
настройка,4,"изменить, родитель, система, установить"
натуральность,4,"волос, естественный, зеленый, природа"
гепард,4,"бежать, быстрый, движение, дикий"
педагогический,4,"институт, исследование, класс, юридический"
ломкий,4,"ветер, волос, счастливый, тонкий"
лунный,4,"земной, месяц, ночь, свет"
пастель,4,"рисунок, светлый, французский, художник"
пассивный,4,"активный, злой, материальный, состояние"
телевидение,4,"ведущий, попасть, программа, российский"
мириться,4,"люди, повод, приходиться, состояться"
как весь,4,"быть, нормальный, обычный, правильный"
пропись,4,"линия, писать, правильный, текст"
паттерн,4,"определенный, привычный, психологический, реальный"
патрон,4,"боевой, кончиться, оружие, очередь"
ген,4,"европейский, открыть, произойти, характер"
просматривать,4,"посмотреть, рассматривать, увидеть, фильм"
пароход,4,"завод, море, руководитель, самолет"
уполномоченный,4,"исполнительный, обязанный, орган, утверждать"
упитанный,4,"здоровый, полный, толстый, физический"
упертый,4,"глупый, прямой, стремиться, уверенный"
паркет,4,"зал, основа, пол, твердый"
комсомольский,4,"география, партийный, правда, улица"
компьютерный игра,4,"игра, играть, сыграть, уровень"
компромис,4,"договориться, находить, согласиться, цена"
компот,4,"домашний, кончиться, мешать, советский"
телешоу,4,"ведущий, голос, программа, участник"
телепорт,4,"исчезнуть, оказываться, появиться, появляться"
захотеть,4,"попросить, приходиться, суметь, хотеть"
с высокий,4,"взгляд, глядеть, наблюдать, падать"
не весь,4,"большинство, знать, половина, слава"
блондин,4,"волос, высокий, настоящий, светлый"
париж,4,"вид, европейский, увидеть, французский"
параллельный,4,"значение, одинаковый, прямой, угол"
гид,4,"иностранный, местный, транспортный, юридический"
глава семья,4,"мать, муж, отец, папа"
уныние,4,"вздохнуть, рад, свобода, состояние"
противоречить,4,"возникать, возникнуть, мешать, согласиться"
противно,4,"кровь, мокрый, нравиться, слышать"
панорама,4,"вид, газета, окно, показывать"
лояльный,4,"верный, добрый, земной, руководство"
лото,4,"игра, играть, ряд, сыграть"
лотерея,4,"билет, миллион, национальный, участвовать"
смыслить,4,"значить, смысл, способный, умный"
смущение,4,"виноватый, вызывать, голый, испытывать"
бесить,4,"мешать, молчать, правительство, учительница"
застолье,4,"гость, повод, праздник, семейный"
артем,4,"брат, господин, имя, мешать"
миловать,4,"бог, любить, просить, простить"
наушник,4,"левый, правый, слышать, услышать"
начинать заново,4,"бросить, возвращаться, выходить, измениться"
глотать,4,"выпить, есть, пить, читать"
глина,4,"земля, материал, позиция, создавать"
гласить,4,"закон, партия, согласный, союз"
глазеть,4,"видеть, глядеть, рассматривать, смотреть"
глянцевый,4,"бумага, журнал, новый, финансовый"
в помещение,4,"войти, входить, зайти, находиться"
в положение,4,"войти, входить, оказаться, оказываться"
п,4,"оружие, отправиться, получаться, хозяин"
ощутимый,4,"материальный, реальный, существенный, физический"
атаковать,4,"бить, боевой, бояться, действовать"
рычаг,4,"действие, использовать, плечо, принцип"
не делать,4,"делать, обещать, перестать, сделать"
запретный,4,"район, судебный, территория, чужой"
не важный,4,"возраст, мнение, оценка, размер"
с близкий,4,"встретиться, встреча, разговаривать, считаться"
затея,4,"идея, мысль, получиться, удасться"
ошибочный,4,"деятельность, мнение, результат, точный"
палатка,4,"лес, привезти, расположить, рынок"
глупить,4,"думать, решать, уметь, учиться"
гнаться,4,"бежать, возвращаться, касаться, начинаться"
гнать,4,"ехать, звать, знать, лететь"
пакт,4,"договор, договориться, коммерческий, региональный"
охотник,4,"истинный, ночной, опытный, оружие"
не жить,4,"играть, погибнуть, существовать, умереть"
запятая,4,"поставить, сложиться, ставить, точка"
становление,4,"жизнь, период, расположить, стать"
калибр,4,"крупный, малый, меньший, различный"
скованный,4,"закрытый, обязанный, связанный, связать"
проулок,4,"прямой, темный, узкий, улица"
головоломка,4,"игра, мысль, решать, решить"
голать,4,"древний, железный, каменный, создание"
комикс,4,"герой, журнал, книга, смешной"
компаньон,4,"веселый, простой, товарищ, участник"
горячо,4,"гореть, огонь, солнце, теплый"
офисный,4,"бумага, деловой, кабинет, компания"
очаровывать,4,"нравиться, понравиться, расположить, удивительный"
гоголь,4,"автор, литература, мертвый, писатель"
гонщик,4,"автомобиль, быстрый, знаменитый, юный"
гонорар,4,"больший, крупный, необходимый, основной"
голый,4,"голый, правда, спина, тело"
процедура,4,"кабинет, назначить, операция, повторить"
процветать,4,"жить, регион, фирма, экономика"
русло,4,"направить, направление, река, течение"
рулетка,4,"повод, размер, рост, сыграть"
в заметка,4,"добавить, записать, сохранить, текст"
запланировать,4,"будущий, встреча, предусмотреть, событие"
рукоделие,4,"делать, занятие, рука, создание"
не наш,4,"европейский, немецкий, соседний, чужой"
затмение,4,"заметить, период, слава, солнце"
горизонтальный,4,"вид, лежать, положить, ряд"
любимка,4,"девушка, парень, православный, сын"
лучик,4,"желтый, надежда, солнце, яркий"
отстраняться,4,"давать, касаться, появляться, уходить"
отсталый,4,"достойный, политика, развитие, уверенный"
микроб,4,"грязный, использование, обнаружить, передавать"
мизинец,4,"маленький, нога, обещать, палец"
отчим,4,"назвать, отец, приходиться, пьяный"
отчаянный,4,"мера, несчастный, случайный, спектакль"
экономист,4,"будущий, специалист, финансовый, экономика"
экологичный,4,"зеленый, природа, природный, химический"
отчаянно,4,"верить, вздохнуть, погибнуть, пытаться"
грабить,4,"кричать, народ, план, хватать"
грабитель,4,"банк, быстрый, вооруженный, неизвестный"
отслеживать,4,"наблюдать, обнаружить, следовать, стоять"
отрезок время,4,"короткий, период, пора, срок"
отучаться,4,"закончить, получиться, привыкнуть, случиться"
отсчет,4,"время, раз, точка, точный"
грамота,4,"литература, речь, учиться, финансовый"
грамматика,4,"использовать, положить, правило, текст"
градусник,4,"больной, врач, горячий, точный"
прощай,4,"оставлять, проводить, сказать, смерть"
не сделать,4,"занятие, обещать, отказаться, сделать"
не сдаваться,4,"действовать, получаться, продолжать, расти"
заноза,4,"деревянный, завод, палец, проблема"
в история,4,"изменение, место, отметить, попасть"
прочность,4,"железный, использование, испытывать, связанный"
гостить,4,"возвращаться, гость, приезжать, приходить"
гостиница,4,"гость, номер, привезти, хозяин"
господь,4,"бог, божий, великий, верить"
антракт,4,"действие, кончать, спектакль, театр"
анонимный,4,"неизвестный, общество, писатель, текст"
бесплатно,4,"дешевый, отдать, платить, помощь"
отменять,4,"вызывать, занятие, культура, отказаться"
отменный,4,"здоровье, качество, результат, хороший"
грамотно,4,"звучать, ответить, писать, разговаривать"
отпечаток,4,"индивидуальный, особый, палец, снять"
беспокоиться,4,"звонить, испытывать, позвонить, считать"
не работать,4,"закрытый, интернет, работать, управление"
замечательно,4,"выглядеть, идея, отличный, согласиться"
какой-то,4,"вещь, определенный, политика, предмет"
какао,4,"вечер, выпить, горячий, теплый"
милость,4,"добрый, попросить, просить, простить"
коммунистический,4,"партийный, партия, председатель, советский"
любоваться,4,"выглядеть, глядеть, нравиться, рассматривать"
прояснивать,4,"ответить, понять, сообщить, узнавать"
проявлять,4,"заявить, интерес, мнение, посвятить"
проявление,4,"внимание, интерес, появиться, случиться"
отлучаться,4,"зависеть, получаться, случиться, уходить"
укладывать,4,"положить, сложиться, составить, спать"
откровенный,4,"голый, настоящий, открытый, разговор"
отклик,4,"звать, многочисленный, ответ, песня"
прямолинейный,4,"действовать, принцип, прямой, честный"
пряжа,4,"воздушный, связанный, связать, синий"
грант,4,"автомобиль, научный, получиться, транспортный"
громадный,4,"большой, великий, огромный, страшный"
гроза,4,"бояться, ветер, грязный, ожидать"
командующий,4,"верховный, генерал, генеральный, официальный"
командный,4,"дух, индивидуальный, партийный, совместный"
ронять,4,"вспоминать, держать, нести, падать"
капкан,4,"боевой, народный, план, попасть"
мигрант,4,"бежать, гражданин, русский, труд"
мешать,4,"занимать, мешать, позволять, помогать"
замужество,4,"верный, муж, судьба, фамилия"
терпеливо,4,"ждать, наблюдать, написать, объяснить"
колпак,4,"доктор, золотой, красный, праздник"
коммерция,4,"коммерческий, рынок, фирма, электронный"
люкс,4,"дорогой, класс, номер, тяжелый"
людный,4,"массовый, место, многочисленный, транспортный"
отвлекать,4,"занять, мешать, понимать, удасться"
грузовой,4,"автомобиль, машина, состав, транспортный"
грохот,4,"война, музыка, удар, холодный"
отбывать,4,"срок, уезжать, уехать, уходить"
не успевать,4,"забыть, начаться, погибнуть, успеть"
группировка,4,"глава, группа, партия, собраться"
группа человек,4,"компания, общество, руководство, ситуация"
смесь,4,"количество, мешать, состав, химический"
лягушка,4,"белый, детский, удасться, французский"
люстра,4,"висеть, зал, свет, светлый"
комар,4,"деревня, защита, мелкий, убить"
цикличный,4,"история, привычный, природа, судьба"
цивилизация,4,"древний, культура, научный, развитие"
от что то,4,"зависеть, отказаться, погибнуть, происходить"
от что,4,"оказываться, происходить, процент, смерть"
психологический,4,"метод, психологический, состояние, физический"
прятаться,4,"бояться, играть, перестать, появляться"
ответчик,4,"виноватый, количество, сторона, являться"
ответственно,4,"назначить, обязательный, относиться, подойти"
отважный,4,"верный, генерал, достойный, сильный"
сперма,4,"банк, закончить, кончать, кровь"
спелый,4,"готовый, свежий, твердый, целый"
не туда,4,"вернуться, взгляд, дорога, зайти"
невесомый,4,"воздушный, касаться, легкий, стать"
невесомость,4,"дух, космический, пространство, состояние"
шарага,4,"закончить, институт, курс, студент"
челлендж,4,"быстрый, массовый, невозможный, устроить"
чей-то,4,"общий, парень, фамилия, чужой"
скопление,4,"группа, компания, массовый, очередь"
птенец,4,"желтый, мертвый, появиться, ранний"
от что-то,4,"зависеть, отказаться, произойти, происходить"
гудок,4,"короткий, позвонить, телефон, телефонный"
губка,4,"говорить, мокрый, сухой, ум"
пунктир,4,"граница, линия, пункт, точка"
от родитель,4,"зависеть, уезжать, уехать, фамилия"
блик,4,"естественный, память, солнечный, яркий"
ролл,4,"есть, купить, роль, японский"
невозможность,4,"желание, мочь, невозможный, ситуация"
невинный,4,"виноватый, ребенок, роль, чистый"
невинность,4,"детский, образ, потерять, сохранить"
от проблема,4,"бежать, исчезнуть, уйти, уходить"
публицист,4,"автор, газета, журнал, писатель"
майор,4,"генерал, знание, солдат, товарищ"
майонез,4,"кончиться, легкий, производство, хлеб"
что-то хороший,4,"замечать, представить, произойти, случиться"
пусть,4,"долгий, жизненный, жизнь, изменить"
пустошь,4,"граница, местный, поле, пространство"
пуск,4,"курс, назначить, продолжать, система"
невзначай,4,"возникнуть, замечать, спрашивать, улыбнуться"
зажигалка,4,"гореть, найти, огонь, текст"
законопроект,4,"закон, политический, утверждать, федеральный"
цепляться,4,"возможность, держать, держаться, касаться"
центр город,4,"встретиться, квартира, площадь, центр"
ужастик,4,"кино, страшный, фильм, японский"
давать согласие,4,"позволить, позволять, согласиться, утверждать"
удостоверение,4,"документ, получить, представить, управление"
осуществляться,4,"идея, получиться, происходить, состояться"
осуждать,4,"общество, политика, судить, уголовный"
путта,4,"дальний, долгий, показать, прямой"
от еда,4,"зависеть, оказаться, оказываться, отказаться"
от,4,"бежать, зависеть, произойти, происходить"
двадцать,4,"век, глава, раз, число"
два человек,4,"пара, поговорить, разговор, союз"
осознанный,4,"взгляд, действие, сознание, ясный"
далее,4,"ответ, перейти, последующий, следующий"
давно,4,"бабушка, вспомнить, забыть, прошлый"
технологический,4,"будущий, информационный, производственный, электронный"
родословная,4,"происходить, род, семья, фамилия"
эрудиция,4,"знать, книга, обладать, умный"
андрей,4,"ведущий, дядя, политика, святой"
меткий,4,"попасть, редкий, резкий, точный"
закладка,4,"книга, книжка, находить, читать"
в карьера,4,"вырасти, расти, состояться, успех"
бесцветный,4,"многочисленный, серый, цвет, черный"
бессмертие,4,"вечный, занятие, невозможный, право"
даром,4,"брать, дешевый, обладать, отдать"
особенно,4,"бог, звучать, значить, написать"
девайс,4,"зарубежный, современный, удобный, электронный"
дебил,4,"группа, люди, народ, общество"
дебаты,4,"добавить, политика, политический, провести"
дворовый,4,"боевой, домашний, народный, ребята"
комбайн,4,"завод, полный, производственный, промышленный"
что угодно,4,"делать, есть, ожидать, случиться"
будда,4,"духовный, спокойный, убить, узнавать"
сплетничать,4,"поговорить, приходиться, рассказать, судить"
капот,4,"автомобиль, грязный, задний, передний"
родной край,4,"вернуться, история, литература, регион"
недоверие,4,"врач, знакомый, оказаться, условие"
типовой,4,"договор, классический, общий, одинаковый"
оскал,4,"боевой, горный, показать, улыбнуться"
освобождение,4,"кричать, простить, свобода, смерть"
дед мороз,4,"верить, добрый, письмо, увидеть"
девятый,4,"километр, класс, половина, час"
девичий,4,"женский, память, песня, фамилия"
удав,4,"длинный, довольный, живой, спокойный"
спец,4,"вооруженный, класс, мастер, профессиональный"
максимум,4,"исторический, минимальный, программа, юридический"
коза,4,"большинство, год, деревня, убить"
действительный,4,"действие, договор, настоящий, реальный"
дежавю,4,"вспоминать, момент, похожий, фильм"
демократический,4,"государство, партия, правительство, федерация"
недруг,4,"друг, знакомый, товарищ, чужой"
загрязнение,4,"грязный, класс, степень, территория"
стакан вода,4,"выпить, подать, попросить, принести"
стажер,4,"ночной, отец, специалист, юный"
стагнация,4,"движение, изменить, развитие, экономика"
делить,4,"определить, половина, равный, требование"
осваивать,4,"понять, угол, учить, учиться"
оружейный,4,"вооруженный, завод, оружие, ряд"
опция,4,"вариант, возможный, выбрать, дополнительный"
увольняться,4,"повод, причина, стремиться, уйти"
денб,4,"вечер, сегодняшний, тяжелый, ясный"
оригами,4,"бумага, получиться, сделать, сложиться"
деректор,4,"генеральный, исполнительный, кабинет, председатель"
неинтересный,4,"кино, книжка, обычный, простой"
завершаться,4,"исследование, кончиться, начинаться, состояться"
загадывать,4,"желание, желать, обещать, являться"
завораживать,4,"дух, интересный, красивый, фильм"
тоже,4,"заметить, образ, требовать, участвовать"
неизбежно,4,"война, изменение, случиться, участие"
незнание,4,"вопрос, знание, знать, неизвестный"
нежить,4,"любить, обратиться, понимать, точка"
нежданный,4,"встреча, гость, дикий, неожиданный"
опускаться,4,"падать, поднять, подняться, сесть"
опускать,4,"поднять, положить, понимать, поставить"
оптимизм,4,"надеяться, положительный, улыбаться, улыбнуться"
определяться,4,"выбрать, остаться, решать, решить"
орган власть,4,"высший, деятельность, исполнительный, структура"
увидить,4,"заметить, замечать, послушать, удивиться"
цыфра,4,"ряд, счет, считать, число"
цыпленок,4,"желтый, маленький, ранний, считать"
цой,4,"герой, живой, кино, песня"
бархат,4,"красный, материал, приятный, синий"
скудный,4,"опыт, природа, серый, характер"
скрытный,4,"деятельность, знаменитый, тайный, тихий"
скромно,4,"жить, молчать, существовать, улыбнуться"
механик,4,"опытный, работать, рабочий, тонкий"
альянс,4,"международный, многочисленный, союз, экономический"
родник,4,"вода, горный, живой, природный"
щедрость,4,"давать, добрый, отдать, передавать"
койка,4,"больной, верхний, нижний, состояние"
детальный,4,"анализ, исследование, план, производственный"
дерзко,4,"звучать, обращаться, ответить, резкий"
детектор,4,"генеральный, директор, правда, художественный"
увеличение,4,"больший, губа, рост, степень"
мальчишка,4,"боевой, милый, ребята, юный"
малышка,4,"девочка, дочь, книжка, рисунок"
маркет,4,"детский, магазин, рынок, торговый"
спонтанный,4,"действие, мысль, неожиданный, случайный"
спонтанность,4,"идея, случай, случайный, уметь"
завет,4,"божий, главный, следовать, чужой"
заверять,4,"документ, обещать, официальный, утверждать"
ринг,4,"бить, боевой, борьба, модель"
за человек,4,"держаться, наблюдать, повторить, следовать"
забросить,4,"деревня, завод, территория, участок"
заводить,4,"дело, предмет, привести, приводить"
коалиция,4,"группа, команда, союз, федерация"
оно,4,"действие, солнце, фильм, школа"
аттракцион,4,"большой, веселый, впечатление, удивительный"
атрибут,4,"московский, необходимый, обязательный, советский"
омлет,4,"готовить, готовый, система, японский"
олимпиада,4,"право, участвовать, участие, участник"
окунь,4,"больший, морской, обещать, равный"
в лужа,4,"лежать, падать, сесть, упасть"
в лоб,4,"бить, получать, ставить, удар"
среднестатистический,4,"нормальный, общий, обычный, средний"
средневековье,4,"господин, искусство, история, поэт"
карета,4,"автомобиль, ездить, машина, подать"
карась,4,"крупный, мелкий, свежий, черный"
разбогатеть,4,"подняться, попробовать, состояться, удасться"
бабуля,4,"бабушка, возраст, рынок, старик"
бабло,4,"денежный, деньги, миллион, рубль"
джентельмен,4,"деловой, истинный, настоящий, юный"
дивный,4,"образ, пора, прекрасный, удивительный"
джунгли,4,"дикий, закон, каменный, опасный"
динамика,4,"активный, движение, действие, звучать"
карма,4,"бить, разный, слово, судьба"
решать задача,4,"находить, попытаться, способ, суметь"
заведующий,4,"директор, начальник, следующий, участник"
ненормальный,4,"больной, злой, нормальный, пара"
диктатура,4,"власть, заставить, требовать, управление"
оковы,4,"железный, свободный, связанный, снять"
окликать,4,"вызвать, звать, кричать, назвать"
